tbl,year,qtr,month,region_name,total_eqpt,avg_eqpt_budget
ByYear,NULL,,,CALABARZON,584,262334.55
ByYear,202,,,CALABARZON,1,85120.00
ByYear,2004,,,CALABARZON,2,377500.00
ByYear,2008,,,CALABARZON,6,242093.33
ByYear,2009,,,CALABARZON,2,540000.00
ByYear,2010,,,CALABARZON,4,117140.00
ByYear,2011,,,CALABARZON,8,11284.00
ByYear,2012,,,CALABARZON,6,756176.67
ByYear,2013,,,CALABARZON,55,195857.77
ByYear,2014,,,CALABARZON,59,362176.71
ByYear,2015,,,CALABARZON,89,305366.72
ByYear,2016,,,CALABARZON,121,397747.81
ByYear,2017,,,CALABARZON,215,424488.86
ByYear,2018,,,CALABARZON,142,356453.29
ByYear,2019,,,CALABARZON,123,377358.10
ByYear,2020,,,CALABARZON,82,502975.21
ByYear,2021,,,CALABARZON,27,131379.76
ByQtr,NULL,NULL,,CALABARZON,584,262334.55
ByQtr,202,1,,CALABARZON,1,85120.00
ByQtr,2004,3,,CALABARZON,2,377500.00
ByQtr,2008,1,,CALABARZON,1,360000.00
ByQtr,2008,2,,CALABARZON,3,296000.00
ByQtr,2008,3,,CALABARZON,2,102280.00
ByQtr,2009,1,,CALABARZON,1,90000.00
ByQtr,2009,3,,CALABARZON,1,990000.00
ByQtr,2010,1,,CALABARZON,1,120000.00
ByQtr,2010,4,,CALABARZON,3,116186.67
ByQtr,2011,1,,CALABARZON,5,6054.40
ByQtr,2011,2,,CALABARZON,3,20000.00
ByQtr,2012,1,,CALABARZON,1,2000000.00
ByQtr,2012,2,,CALABARZON,1,550000.00
ByQtr,2012,3,,CALABARZON,2,627250.00
ByQtr,2012,4,,CALABARZON,2,366280.00
ByQtr,2013,1,,CALABARZON,13,157065.38
ByQtr,2013,2,,CALABARZON,15,148255.17
ByQtr,2013,3,,CALABARZON,11,215045.45
ByQtr,2013,4,,CALABARZON,16,258812.50
ByQtr,2014,1,,CALABARZON,10,451136.00
ByQtr,2014,2,,CALABARZON,21,277166.67
ByQtr,2014,3,,CALABARZON,16,615075.38
ByQtr,2014,4,,CALABARZON,12,99613.33
ByQtr,2015,1,,CALABARZON,25,130647.00
ByQtr,2015,2,,CALABARZON,19,427734.21
ByQtr,2015,3,,CALABARZON,16,487853.30
ByQtr,2015,4,,CALABARZON,29,275133.10
ByQtr,2016,1,,CALABARZON,19,1399498.95
ByQtr,2016,2,,CALABARZON,29,101824.78
ByQtr,2016,3,,CALABARZON,33,267727.94
ByQtr,2016,4,,CALABARZON,40,243726.63
ByQtr,2017,1,,CALABARZON,46,462391.61
ByQtr,2017,2,,CALABARZON,82,282957.60
ByQtr,2017,3,,CALABARZON,52,460900.00
ByQtr,2017,4,,CALABARZON,35,652164.81
ByQtr,2018,1,,CALABARZON,52,363026.84
ByQtr,2018,2,,CALABARZON,30,139542.08
ByQtr,2018,3,,CALABARZON,43,261934.51
ByQtr,2018,4,,CALABARZON,17,958207.38
ByQtr,2019,1,,CALABARZON,38,207845.97
ByQtr,2019,2,,CALABARZON,36,554095.86
ByQtr,2019,3,,CALABARZON,18,703341.67
ByQtr,2019,4,,CALABARZON,31,190622.53
ByQtr,2020,1,,CALABARZON,30,603296.26
ByQtr,2020,2,,CALABARZON,8,1074891.44
ByQtr,2020,3,,CALABARZON,14,310270.14
ByQtr,2020,4,,CALABARZON,30,340072.20
ByQtr,2021,1,,CALABARZON,15,171406.01
ByQtr,2021,2,,CALABARZON,11,86923.95
ByQtr,2021,3,,CALABARZON,1,20000.00
ByMonth,NULL,NULL,NULL,CALABARZON,584,262334.55
ByMonth,202,1,2,CALABARZON,1,85120.00
ByMonth,2004,3,8,CALABARZON,1,385000.00
ByMonth,2004,3,9,CALABARZON,1,370000.00
ByMonth,2008,1,3,CALABARZON,1,360000.00
ByMonth,2008,2,4,CALABARZON,1,535000.00
ByMonth,2008,2,6,CALABARZON,2,176500.00
ByMonth,2008,3,8,CALABARZON,1,18000.00
ByMonth,2008,3,9,CALABARZON,1,186560.00
ByMonth,2009,1,2,CALABARZON,1,90000.00
ByMonth,2009,3,9,CALABARZON,1,990000.00
ByMonth,2010,1,1,CALABARZON,1,120000.00
ByMonth,2010,4,12,CALABARZON,3,116186.67
ByMonth,2011,1,2,CALABARZON,5,6054.40
ByMonth,2011,2,5,CALABARZON,3,20000.00
ByMonth,2012,1,1,CALABARZON,1,2000000.00
ByMonth,2012,2,4,CALABARZON,1,550000.00
ByMonth,2012,3,8,CALABARZON,1,54500.00
ByMonth,2012,3,9,CALABARZON,1,1200000.00
ByMonth,2012,4,10,CALABARZON,1,714560.00
ByMonth,2012,4,12,CALABARZON,1,18000.00
ByMonth,2013,1,1,CALABARZON,1,5000.00
ByMonth,2013,1,2,CALABARZON,4,44000.00
ByMonth,2013,1,3,CALABARZON,8,232606.25
ByMonth,2013,2,4,CALABARZON,3,163833.33
ByMonth,2013,2,5,CALABARZON,6,152367.92
ByMonth,2013,2,6,CALABARZON,6,136353.33
ByMonth,2013,3,7,CALABARZON,6,169583.33
ByMonth,2013,3,8,CALABARZON,2,384000.00
ByMonth,2013,3,9,CALABARZON,3,193333.33
ByMonth,2013,4,10,CALABARZON,11,354363.64
ByMonth,2013,4,11,CALABARZON,2,60000.00
ByMonth,2013,4,12,CALABARZON,3,41000.00
ByMonth,2014,1,1,CALABARZON,1,1002400.00
ByMonth,2014,1,3,CALABARZON,9,389884.44
ByMonth,2014,2,4,CALABARZON,4,606500.00
ByMonth,2014,2,5,CALABARZON,16,209343.75
ByMonth,2014,2,6,CALABARZON,1,45000.00
ByMonth,2014,3,7,CALABARZON,8,825700.00
ByMonth,2014,3,8,CALABARZON,5,579000.00
ByMonth,2014,3,9,CALABARZON,3,113535.33
ByMonth,2014,4,11,CALABARZON,2,532500.00
ByMonth,2014,4,12,CALABARZON,10,13036.00
ByMonth,2015,1,1,CALABARZON,8,187942.50
ByMonth,2015,1,2,CALABARZON,6,197633.33
ByMonth,2015,1,3,CALABARZON,11,52439.55
ByMonth,2015,2,4,CALABARZON,7,492071.43
ByMonth,2015,2,5,CALABARZON,3,270273.33
ByMonth,2015,2,6,CALABARZON,9,430181.11
ByMonth,2015,3,7,CALABARZON,5,785760.00
ByMonth,2015,3,8,CALABARZON,6,534262.13
ByMonth,2015,3,9,CALABARZON,5,134256.00
ByMonth,2015,4,10,CALABARZON,3,65000.00
ByMonth,2015,4,11,CALABARZON,9,559877.78
ByMonth,2015,4,12,CALABARZON,17,161468.24
ByMonth,2016,1,1,CALABARZON,1,45000.00
ByMonth,2016,1,2,CALABARZON,7,439714.29
ByMonth,2016,1,3,CALABARZON,11,2133407.27
ByMonth,2016,2,4,CALABARZON,7,89757.14
ByMonth,2016,2,5,CALABARZON,18,85901.03
ByMonth,2016,2,6,CALABARZON,4,194600.00
ByMonth,2016,3,7,CALABARZON,22,170122.27
ByMonth,2016,3,8,CALABARZON,4,327350.00
ByMonth,2016,3,9,CALABARZON,7,540418.85
ByMonth,2016,4,10,CALABARZON,14,492995.71
ByMonth,2016,4,11,CALABARZON,18,74179.78
ByMonth,2016,4,12,CALABARZON,8,188986.14
ByMonth,2017,1,1,CALABARZON,8,1184268.75
ByMonth,2017,1,2,CALABARZON,19,432954.53
ByMonth,2017,1,3,CALABARZON,19,187880.43
ByMonth,2017,2,4,CALABARZON,13,205274.85
ByMonth,2017,2,5,CALABARZON,40,401489.88
ByMonth,2017,2,6,CALABARZON,29,154288.10
ByMonth,2017,3,7,CALABARZON,7,453714.29
ByMonth,2017,3,8,CALABARZON,37,469116.22
ByMonth,2017,3,9,CALABARZON,8,429187.50
ByMonth,2017,4,10,CALABARZON,7,463000.00
ByMonth,2017,4,11,CALABARZON,18,645233.33
ByMonth,2017,4,12,CALABARZON,10,797056.84
ByMonth,2018,1,1,CALABARZON,12,359984.75
ByMonth,2018,1,2,CALABARZON,16,584394.27
ByMonth,2018,1,3,CALABARZON,24,216969.59
ByMonth,2018,2,4,CALABARZON,14,144271.67
ByMonth,2018,2,5,CALABARZON,8,588.63
ByMonth,2018,2,6,CALABARZON,8,270218.75
ByMonth,2018,3,7,CALABARZON,5,1502600.00
ByMonth,2018,3,8,CALABARZON,16,93084.62
ByMonth,2018,3,9,CALABARZON,22,102765.00
ByMonth,2018,4,10,CALABARZON,8,1103772.38
ByMonth,2018,4,11,CALABARZON,7,533782.54
ByMonth,2018,4,12,CALABARZON,2,1861434.38
ByMonth,2019,1,1,CALABARZON,12,81930.83
ByMonth,2019,1,2,CALABARZON,13,326687.34
ByMonth,2019,1,3,CALABARZON,13,205233.96
ByMonth,2019,2,4,CALABARZON,11,1496790.09
ByMonth,2019,2,5,CALABARZON,14,137376.43
ByMonth,2019,2,6,CALABARZON,11,141771.81
ByMonth,2019,3,7,CALABARZON,6,1406483.33
ByMonth,2019,3,8,CALABARZON,3,163333.33
ByMonth,2019,3,9,CALABARZON,9,414583.33
ByMonth,2019,4,10,CALABARZON,2,1027820.76
ByMonth,2019,4,11,CALABARZON,25,77562.28
ByMonth,2019,4,12,CALABARZON,4,478650.00
ByMonth,2020,1,1,CALABARZON,7,1339992.86
ByMonth,2020,1,2,CALABARZON,17,265734.58
ByMonth,2020,1,3,CALABARZON,6,700241.67
ByMonth,2020,2,6,CALABARZON,8,1074891.44
ByMonth,2020,3,7,CALABARZON,9,429449.11
ByMonth,2020,3,8,CALABARZON,2,67470.00
ByMonth,2020,3,9,CALABARZON,3,114600.00
ByMonth,2020,4,10,CALABARZON,7,330900.00
ByMonth,2020,4,11,CALABARZON,4,918875.00
ByMonth,2020,4,12,CALABARZON,19,221598.21
ByMonth,2021,1,1,CALABARZON,5,1.00
ByMonth,2021,1,2,CALABARZON,2,251000.00
ByMonth,2021,1,3,CALABARZON,8,258635.64
ByMonth,2021,2,4,CALABARZON,8,31708.59
ByMonth,2021,2,6,CALABARZON,3,234164.91
ByMonth,2021,3,7,CALABARZON,1,20000.00
